Orthogroup	HART001	HART027	HART058	HART060	HART061	HART062	HART063	HART067	HART068	N1523	N9750	Total
OG0000395	4	3	4	4	5	5	4	3	1	3	1	37
OG0000396	1	1	1	1	0	1	1	1	1	29	0	37
OG0000397	4	2	4	3	4	4	4	4	3	2	3	37
OG0000398	4	3	3	3	3	3	6	4	4	1	3	37
OG0000399	3	4	3	3	4	4	3	3	3	5	2	37
OG0000400	2	4	4	4	5	4	2	3	5	0	4	37
OG0000401	3	4	3	4	4	3	4	3	3	2	3	36
OG0000402	3	3	4	3	3	3	4	4	3	4	2	36
OG0000403	2	4	4	3	4	4	3	3	3	2	4	36
OG0000404	3	3	3	3	3	3	4	2	3	6	3	36
OG0000405	4	4	4	3	3	3	4	3	2	2	4	36
OG0000406	4	3	3	3	4	4	4	3	3	2	3	36
OG0000407	3	3	3	4	3	4	4	3	3	2	4	36
OG0000408	3	4	4	2	3	3	4	4	2	5	2	36
OG0000409	3	4	4	3	4	3	4	3	3	2	3	36
OG0000410	2	1	1	2	1	1	2	2	2	21	1	36
OG0000411	4	3	2	4	3	3	3	4	4	2	4	36
OG0000412	4	4	3	3	3	3	4	3	2	3	4	36
OG0000413	3	3	3	3	4	4	3	3	4	2	4	36
OG0000414	4	3	4	3	2	2	7	5	3	1	2	36
OG0000415	3	3	3	2	2	3	5	3	2	8	2	36
OG0000416	4	4	4	1	4	4	4	3	4	2	2	36
OG0000417	4	2	2	4	3	3	4	3	4	4	3	36
OG0000418	4	4	3	3	2	2	6	4	3	2	3	36
OG0000419	3	4	3	4	3	3	4	3	3	2	4	36
OG0000420	3	4	3	3	4	4	3	3	3	2	4	36
OG0000421	3	4	4	2	4	3	4	4	3	2	3	36
OG0000422	4	3	4	3	4	4	4	4	2	1	3	36
OG0000423	4	3	3	2	3	3	5	3	3	4	3	36
OG0000424	4	4	4	3	3	4	4	4	2	2	2	36
OG0000425	4	4	4	2	4	4	4	4	2	2	2	36
OG0000426	4	4	4	2	4	4	5	4	2	1	2	36
OG0000427	3	3	3	3	3	3	4	3	4	3	4	36
OG0000428	4	2	3	3	3	3	4	4	3	3	4	36
OG0000429	3	5	3	4	2	2	6	5	2	1	2	35
OG0000430	3	3	3	4	3	3	3	3	4	2	4	35
OG0000431	3	2	2	2	3	3	3	3	2	10	2	35
OG0000432	4	3	4	3	4	4	3	3	2	2	3	35
OG0000433	4	4	4	1	4	4	3	4	2	2	3	35
OG0000434	5	4	3	2	3	3	5	5	2	1	2	35
OG0000435	3	4	4	3	4	4	3	2	3	2	3	35
OG0000436	3	3	4	3	4	3	3	3	2	5	2	35
OG0000437	4	3	3	3	3	4	3	4	3	2	3	35
OG0000438	4	3	4	1	2	3	5	4	3	3	3	35
OG0000439	3	2	3	3	3	3	3	3	3	6	3	35
OG0000440	4	3	3	3	3	2	4	4	3	3	3	35
OG0000441	3	3	4	4	4	3	3	3	3	2	3	35
OG0000442	4	3	3	3	4	4	3	4	2	2	3	35
OG0000443	4	4	1	3	4	1	4	3	4	4	3	35
OG0000444	4	4	2	4	2	2	4	4	4	1	4	35
OG0000445	3	3	3	3	3	3	3	3	3	5	3	35
OG0000446	4	4	2	3	3	3	4	4	3	2	3	35
OG0000447	3	3	3	3	4	4	3	3	3	3	3	35
OG0000448	4	3	3	3	3	3	4	4	4	2	2	35
OG0000449	4	3	3	3	3	3	4	4	3	2	3	35
OG0000450	3	3	3	3	3	3	3	3	3	6	2	35
OG0000451	2	3	3	3	3	3	4	4	3	5	2	35
OG0000452	4	3	3	3	3	2	4	4	3	3	3	35
OG0000453	3	3	3	3	3	3	5	3	3	3	3	35
OG0000454	3	3	4	3	4	4	3	3	3	3	2	35
OG0000455	3	3	2	3	3	3	3	3	3	6	3	35
OG0000456	4	3	3	3	3	3	4	4	3	2	3	35
