Gene	subset	category	mean_log2_Arto_vs_Bato
Morus_003548-R1	Homeologs	Both	2.878925555280342
Morus_003551-R1	Homeologs	Arto-only	-1.2810003216847368
Morus_003583-R1	Homeologs	Both	3.798929664142972
Morus_003588-R1	A-unique	Both	-1.4879300461837612
Morus_003590-R1	Homeologs	Both	-0.2554130022800781
Morus_003601-R1	A-unique	Both	-2.1188793264337322
Morus_003604-R1	A-unique	Neither	1.6698357270687545
Morus_003606-R1	Homeologs	Both	1.9264529392825822
Morus_003628-R1	A-unique	Neither	-2.92388219924342
Morus_003650-R1	Homeologs	Bato-only	-1.5493769967926923
Morus_003664-R1	B-unique	Bato-only	-1.1989554619863805
Morus_003667-R2	A-unique	Bato-only	-2.024837669586317
Morus_003668-R1	A-unique	Neither	3.278386323256032
Morus_003670-R1	A-unique	Neither	0.4584690288996569
Morus_003682-R1	Homeologs	Both	-0.5894215946470104
Morus_003684-R1	A-unique	Both	-1.9107969089730852
Morus_003688-R1	Homeologs	Neither	0.3333750849569195
Morus_003708-R1	Homeologs	Arto-only	-1.488484581274693
Morus_003710-R1	A-unique	Neither	-0.8769847211714334
Morus_003720-R1	B-unique	Both	0.23544116421664785
Morus_003745-R1	Homeologs	Arto-only	-1.123057326837001
Morus_003775-R1	Homeologs	Bato-only	0.10612615078816023
Morus_003783-R1	A-unique	Both	-1.917757587194421
Morus_003785-R1	A-unique	Arto-only	5.377989869574877
Morus_003818-R1	Homeologs	Arto-only	0
Morus_003843-R1	Homeologs	Neither	-0.5221120036158889
Morus_003846-R1	B-unique	Bato-only	-0.8169120352159218
Morus_003853-R1	Homeologs	Both	-0.7177891277009001
Morus_003867-R1	A-unique	Neither	-2.9323321092084127
Morus_003874-R1	Homeologs	Both	-0.32828434744951407
Morus_003878-R1	A-unique	Bato-only	0.11906788414550863
Morus_003881-R1	A-unique	Neither	1.1124997149540776
Morus_003883-R1	B-unique	Neither	1.1718245838222836
Morus_003885-R1	B-unique	Neither	-1.249859989897018
Morus_003887-R1	A-unique	Neither	-0.7669701473260327
Morus_003891-R1	A-unique	Arto-only	-2.4772255534930636
Morus_003898-R1	A-unique	Neither	-1.2309627932394631
Morus_003899-R1	A-unique	Neither	1.2702375946350297
Morus_003906-R1	Homeologs	Neither	-0.3204409394711869
Morus_003914-R2	Homeologs	Bato-only	-1.653341713753462
Morus_003915-R1	B-unique	Bato-only	1.8476431728665963
Morus_003938-R1	Homeologs	Neither	-1.0119960720872323
Morus_003976-R1	B-unique	Neither	-5.177727926537539
Morus_003985-R1	Homeologs	Both	2.0483797087847964
Morus_003991-R1	B-unique	Bato-only	3.6679315146600144
Morus_004016-R3	Homeologs	Both	0.12356158190140282
Morus_004028-R1	B-unique	Bato-only	1.5114700844291296
Morus_004080-R1	B-unique	Neither	-3.0342923131734114
Morus_004087-R1	A-unique	Bato-only	-2.111563579946474
Morus_004096-R1	Homeologs	Bato-only	-0.7566610478272667
Morus_004101-R1	Homeologs	Neither	0.6302312501695464
Morus_004102-R1	Homeologs	Bato-only	-0.22534413031248027
Morus_004115-R1	B-unique	Neither	3.5125808969757193
Morus_004122-R1	Homeologs	Bato-only	0
Morus_004124-R1	A-unique	Neither	0.7894820908257424
Morus_004125-R1	A-unique	Arto-only	-0.07900211804093948
Morus_004156-R1	A-unique	Bato-only	0
Morus_004165-R1	A-unique	Neither	0
Morus_004169-R1	Homeologs	Neither	-2.0188728988820093
Morus_004183-R1	A-unique	Neither	-5.307581771477972
Morus_004186-R1	B-unique	Bato-only	-0.4057584080124467
Morus_004194-R1	A-unique	Neither	-2.75298800425216
Morus_004230-R1	A-unique	Neither	0
Morus_004231-R1	A-unique	Neither	1.1588423325103583
Morus_004236-R1	A-unique	Arto-only	3.2878670012869016
Morus_004261-R1	A-unique	Neither	6.568980644366567
Morus_004272-R1	A-unique	Arto-only	4.180085355535708
Morus_004303-R1	A-unique	Neither	0
Morus_004348-R1	Homeologs	Bato-only	-0.6454510387143347
Morus_004381-R1	Homeologs	Neither	-0.10617325575016659
Morus_004417-R1	B-unique	Neither	-0.18168218657134708
Morus_004424-R1	B-unique	Neither	0
Morus_004442-R1	B-unique	Bato-only	0
Morus_004444-R1	A-unique	Arto-only	0
Morus_004460-R1	B-unique	Both	-0.35232223932688733
Morus_004470-R1	Homeologs	Both	0
Morus_004474-R1	A-unique	Neither	-0.4181434625100381
Morus_004481-R1	A-unique	Bato-only	-6.749662519106787
Morus_004494-R1	Homeologs	Neither	2.355625401840796
Morus_004495-R1	Homeologs	Neither	-5.313785165717908
Morus_004500-R2	Homeologs	Arto-only	-0.15484256064021024
Morus_004523-R1	A-unique	Neither	-2.5733145720836195
Morus_004549-R1	A-unique	Neither	-3.951684667317776
Morus_004556-R1	Homeologs	Both	-0.6645810435399557
Morus_004557-R1	Homeologs	Both	-1.5467600724110069
Morus_004558-R1	Homeologs	Both	1.223939237822675
Morus_004571-R1	Homeologs	Bato-only	-0.7633732093103741
