Morus	tissue	TPM_bato
Morus_000377-R1	YL	0
Morus_000378-R1	ML	0
Morus_000378-R1	YL	0
Morus_000379-R1	ML	0
Morus_000379-R1	YL	0
Morus_000381-R1	ML	1293.967303
Morus_000381-R1	YL	1256.681517
Morus_000382-R1	ML	173.241725
Morus_000382-R1	YL	39.252442
Morus_000383-R1	ML	87.322251
Morus_000383-R1	YL	62.270539
Morus_000385-R1	ML	108.446089
Morus_000385-R1	YL	99.060163
Morus_000386-R1	ML	0
Morus_000386-R1	YL	2.372853
Morus_000388-R1	ML	98.888231
Morus_000388-R1	YL	201.24348
Morus_000389-R1	ML	2.249436
Morus_000389-R1	YL	9.004144
Morus_000392-R1	ML	37.283206
Morus_000392-R1	YL	51.616464
Morus_000394-R1	ML	24.02549
Morus_000394-R1	YL	67.319221
Morus_000397-R1	ML	1.086259
Morus_000397-R1	YL	6.211609
Morus_000398-R1	ML	1.476011
Morus_000398-R1	YL	1.68807
Morus_000399-R1	ML	0
Morus_000399-R1	YL	0
Morus_000400-R1	ML	31.132848
Morus_000400-R1	YL	46.626521
Morus_000401-R2	ML	0
Morus_000401-R2	YL	2.310806
Morus_000402-R1	ML	40.079905
Morus_000402-R1	YL	101.225999
Morus_000404-R1	ML	82.847874
Morus_000404-R1	YL	97.432256
Morus_000405-R1	ML	0
Morus_000405-R1	YL	0
Morus_000406-R1	ML	0
Morus_000406-R1	YL	0
Morus_000408-R1	ML	39.606453
Morus_000408-R1	YL	67.418366
Morus_000411-R1	ML	1.611631
Morus_000411-R1	YL	3.686348
Morus_000412-R1	ML	121.687142
Morus_000412-R1	YL	201.02325
Morus_000413-R1	ML	7.453163
Morus_000413-R1	YL	10.228751
Morus_000415-R1	ML	0
Morus_000415-R1	YL	0
Morus_000416-R1	ML	628.062561
Morus_000416-R1	YL	658.805549
Morus_000417-R1	ML	36.093381
Morus_000417-R1	YL	30.021032
Morus_000418-R1	ML	41.753752
Morus_000418-R1	YL	47.752517
Morus_000420-R1	ML	4.007991
Morus_000420-R1	YL	18.335275
Morus_000421-R1	ML	0
Morus_000421-R1	YL	24.994926
Morus_000423-R1	ML	5.676439
Morus_000423-R1	YL	5.409978
Morus_000424-R1	ML	0
Morus_000424-R1	YL	0
Morus_000426-R1	ML	0
Morus_000426-R1	YL	1.558528
Morus_000427-R1	ML	0
Morus_000427-R1	YL	4.473038
Morus_000428-R1	ML	33.490525
Morus_000428-R1	YL	14.111304
Morus_000429-R1	ML	3.916484
Morus_000429-R1	YL	6.718748
Morus_000433-R1	ML	0
Morus_000433-R1	YL	0
Morus_000434-R1	ML	0
Morus_000434-R1	YL	0
Morus_000437-R15	ML	0
Morus_000437-R15	YL	0
Morus_000438-R1	ML	765.134536
Morus_000438-R1	YL	1454.539194
Morus_000439-R1	ML	0
Morus_000439-R1	YL	0
Morus_000444-R1	ML	179.073307
Morus_000444-R1	YL	10.532612
Morus_000445-R1	ML	18.683513
Morus_000445-R1	YL	47.426037
Morus_000446-R1	ML	24.20858
Morus_000446-R1	YL	15.227645
Morus_000448-R1	ML	62.261177000000004
Morus_000448-R1	YL	274.856105
Morus_000449-R1	ML	6.540747
Morus_000449-R1	YL	4.155809
Morus_000451-R1	ML	49.011999
Morus_000451-R1	YL	246.402089
Morus_000452-R1	ML	3.690663
Morus_000452-R1	YL	3.517417
Morus_000453-R1	ML	4.818595
Morus_000453-R1	YL	23.880494
Morus_000454-R1	ML	3.495151
Morus_000454-R1	YL	5.995949
Morus_000455-R1	ML	42.409683
Morus_000455-R1	YL	63.881585
Morus_000456-R3	ML	0
Morus_000456-R3	YL	0
Morus_000457-R1	ML	123.96467
Morus_000457-R1	YL	93.320044
Morus_000459-R1	ML	114.36133
Morus_000459-R1	YL	27.722139
Morus_000460-R1	ML	43.910067
Morus_000460-R1	YL	48.823667
Morus_000461-R1	ML	12.550629
Morus_000461-R1	YL	47.367469
Morus_000462-R1	ML	109.346838
Morus_000462-R1	YL	92.213531
Morus_000463-R1	ML	13.825112
Morus_000463-R1	YL	12.016639
Morus_000464-R1	ML	0
Morus_000464-R1	YL	47.618312
Morus_000465-R1	ML	4.023974
Morus_000465-R1	YL	19.558917
Morus_000467-R2	ML	0
Morus_000467-R2	YL	0
Morus_000470-R2	ML	0
Morus_000470-R2	YL	0
Morus_000473-R1	ML	0
Morus_000473-R1	YL	0
Morus_000475-R1	ML	216.41754
Morus_000475-R1	YL	166.903472
Morus_000481-R1	ML	0
Morus_000481-R1	YL	1.87488
Morus_000484-R1	ML	98.892735
Morus_000484-R1	YL	94.531896
Morus_000487-R1	ML	8.889024
Morus_000487-R1	YL	0
Morus_000491-R1	ML	0.908206
Morus_000491-R1	YL	0
Morus_000495-R1	ML	446.793584
Morus_000495-R1	YL	287.986247
Morus_000497-R1	ML	0
Morus_000497-R1	YL	0
Morus_000499-R1	ML	113.031547
Morus_000499-R1	YL	111.88985
Morus_000502-R1	ML	68.327025
Morus_000502-R1	YL	38.601042
Morus_000503-R1	ML	329.831945
Morus_000503-R1	YL	132.740734
Morus_000506-R1	ML	1.328547
Morus_000506-R1	YL	1.519419
Morus_000507-R1	ML	5.435424
Morus_000507-R1	YL	9.324498
Morus_000508-R1	ML	2.971968
Morus_000508-R1	YL	11.896328
Morus_000513-R1	ML	21.105068
Morus_000513-R1	YL	30.573831
Morus_000515-R1	ML	5.450969
Morus_000515-R1	YL	0
Morus_000516-R1	ML	1.878471
Morus_000516-R1	YL	2.148351
Morus_000518-R1	ML	106.380509
Morus_000518-R1	YL	82.501906
Morus_000519-R1	ML	58.323326
Morus_000519-R1	YL	40.838352
Morus_000520-R1	ML	42.590116
Morus_000520-R1	YL	200.33557
Morus_000521-R1	ML	0
Morus_000521-R1	YL	0
Morus_000522-R1	ML	60.017874
Morus_000522-R1	YL	68.640645
Morus_000523-R1	ML	72.888559
Morus_000523-R1	YL	58.539651
Morus_000525-R1	ML	59.527505
Morus_000525-R1	YL	51.427206
Morus_000526-R1	ML	0
Morus_000526-R1	YL	0
Morus_000527-R1	ML	57.71623
Morus_000527-R1	YL	53.074261
Morus_000528-R3	ML	4.27999
Morus_000528-R3	YL	3.915917
Morus_000529-R1	ML	62.008467
Morus_000529-R1	YL	60.786195
Morus_000530-R1	ML	3.167319
Morus_000530-R1	YL	6.03728
Morus_000533-R1	ML	17.816556
Morus_000533-R1	YL	77.909237
Morus_000534-R1	ML	55.140468
Morus_000534-R1	YL	149.773444
Morus_000537-R1	ML	0
Morus_000537-R1	YL	1.360146
Morus_000543-R1	ML	0
Morus_000543-R1	YL	0
Morus_000544-R1	ML	104.009516
Morus_000544-R1	YL	70.715898
Morus_000547-R1	ML	80.698519
Morus_000547-R1	YL	54.622081
Morus_000548-R2	ML	0
Morus_000548-R2	YL	7.90441
Morus_000549-R1	ML	141.970942
Morus_000549-R1	YL	86.257956
Morus_000551-R1	ML	1.159851
Morus_000551-R1	YL	0
Morus_000552-R1	ML	0
Morus_000552-R1	YL	0
Morus_000553-R3	ML	39.419553
Morus_000553-R3	YL	29.771768
Morus_000554-R1	ML	0
Morus_000554-R1	YL	0
Morus_000556-R2	ML	30.327257
Morus_000556-R2	YL	37.837502
Morus_000558-R1	ML	4.502415
Morus_000558-R1	YL	0
Morus_000560-R1	ML	0
Morus_000560-R1	YL	6.116658
Morus_000561-R1	ML	47.614887
Morus_000561-R1	YL	62.409928
Morus_000562-R1	ML	51.695227
Morus_000562-R1	YL	57.479998
Morus_000563-R1	ML	0
Morus_000563-R1	YL	0
Morus_000564-R1	ML	0
Morus_000564-R1	YL	0
Morus_000565-R1	ML	127.13903
Morus_000565-R1	YL	109.444701
Morus_000566-R1	ML	11.800255
Morus_000566-R1	YL	34.702968
Morus_000567-R1	ML	0
Morus_000567-R1	YL	0
Morus_000568-R1	ML	1.35115
Morus_000568-R1	YL	0
Morus_000570-R1	ML	0
Morus_000570-R1	YL	0
Morus_000572-R1	ML	102.469776
Morus_000572-R1	YL	224.255561
Morus_000574-R1	ML	103.338552
Morus_000574-R1	YL	114.245702
Morus_000575-R1	ML	116.557116
Morus_000575-R1	YL	29.240633
Morus_000576-R1	ML	351.787164
Morus_000576-R1	YL	98.837914
Morus_000577-R1	ML	97.715927
Morus_000577-R1	YL	127.169234
Morus_000579-R1	ML	102.460185
Morus_000579-R1	YL	183.65813
Morus_000580-R1	ML	33.720696
Morus_000580-R1	YL	28.924013
Morus_000582-R1	ML	0
Morus_000582-R1	YL	0
Morus_000584-R1	ML	116.032193
Morus_000584-R1	YL	71.046902
Morus_000585-R1	ML	0
Morus_000585-R1	YL	1.77706
Morus_000589-R1	ML	34.055887
Morus_000589-R1	YL	110.196318
Morus_000590-R1	ML	24.991549
Morus_000590-R1	YL	27.867535
Morus_000591-R1	ML	9.047574
Morus_000591-R1	YL	20.694878
Morus_000592-R1	ML	0
Morus_000592-R1	YL	0
Morus_000593-R1	ML	30.272945
Morus_000593-R1	YL	47.102378
Morus_000594-R1	ML	40.279652
Morus_000594-R1	YL	39.485685
Morus_000597-R1	ML	0
Morus_000597-R1	YL	0
Morus_000600-R1	ML	7.595731
Morus_000600-R1	YL	12.161815
Morus_000601-R1	ML	13.672316
Morus_000601-R1	YL	33.01064
Morus_000603-R1	ML	58.045659
Morus_000603-R1	YL	78.100098
Morus_000606-R1	ML	11.322904
Morus_000606-R1	YL	32.374166
