Morus	tissue	A	B	total_AB	log2_BA
Morus_000124-R1	MF	1.75613	0	1.75613	-1.462643938090135
Morus_000124-R1	ML	0	0	0	0
Morus_000124-R1	SD	0	0	0	0
Morus_000124-R1	YL	0	0	0	0
Morus_000128-R1	FF	174.554673	0	174.554673	-7.455776588865499
Morus_000128-R1	FR	291.215843	0	291.215843	-8.19089058830599
Morus_000128-R1	MF	233.900308	0	233.900308	-7.8759047947799274
Morus_000128-R1	ML	139.818502	0	139.818502	-7.1376930904403
Morus_000128-R1	SD	392.376132	0	392.376132	-8.619765614880086
Morus_000128-R1	YL	181.645007	0	181.645007	-7.512898504795224
Morus_000130-R1	FF	23.741265	15.12605	38.867315	-0.6175261655697074
Morus_000130-R1	FR	51.908618	34.320053	86.22867099999999	-0.5830152264652514
Morus_000130-R1	MF	18.96064	10.595271	29.555911000000002	-0.7836214402274714
Morus_000130-R1	ML	17.714263	5.643061	23.357324	-1.4942181663767211
Morus_000130-R1	SD	47.90725	38.15337	86.06062	-0.3209118576451444
Morus_000130-R1	YL	22.657107	9.241653	31.89876	-1.20782507425483
Morus_000131-R1	FF	22.934607	31.709729	54.644335999999996	0.4506216891702815
Morus_000131-R1	FR	15.858949	5.954265	21.813214000000002	-1.2775446516275093
Morus_000131-R1	MF	17.403636	15.190666	32.594302	-0.18482849535303006
Morus_000131-R1	ML	30.150392	18.764698	48.91509	-0.6563244071180573
Morus_000131-R1	SD	20.935966	25.374047	46.310013	0.2658207243055288
Morus_000131-R1	YL	21.231053	16.155025	37.386078	-0.3739450565974911
Morus_000132-R1	FF	21.195893	26.109188	47.305081	0.28848914755683835
Morus_000132-R1	FR	4.274857	6.462556	10.737413	0.5005378693280697
Morus_000132-R1	MF	12.50996	8.728639	21.238599	-0.47371350654344896
Morus_000132-R1	ML	8.786146	5.313016	14.099162	-0.6324113990321094
Morus_000132-R1	SD	9.50466	19.158348	28.663007999999998	0.9403479454992247
Morus_000132-R1	YL	10.988033	25.839745	36.827778	1.1627760044536581
Morus_000133-R1	FF	0	0	0	0
Morus_000133-R1	FR	1.744009	0	1.744009	-1.4562852133744553
Morus_000133-R1	MF	0	0.785181	0.785181	0.8360703569233068
Morus_000133-R1	ML	0	1.43379	1.43379	1.2832046902254515
Morus_000133-R1	SD	0	0	0	0
Morus_000133-R1	YL	1.494259	2.988518	4.4827770000000005	0.6772415085788714
Morus_000134-R1	FF	114.88443	17.007533	131.891963	-2.686014288508784
Morus_000134-R1	FR	15.165994	8.820348	23.986342	-0.7191161625143607
Morus_000134-R1	MF	96.871875	9.927654	106.799529	-3.1629106288927393
Morus_000134-R1	ML	0.77927	0	0.77927	-0.8312854527661722
