Orthogroup	d
OG0000262	catalytic activity:oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; oxidoreductase activity; peptidyl-prolyl cis-trans isomerase activity
OG0000263	catalytic activity:UDP-glucosyltransferase activity; UDP-glycosyltransferase activity
OG0000265	catalytic activity:methyltransferase activity
OG0000266	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0000267	carbohydrate metabolism:membrane; cellulose synthase (UDP-forming) activity; cellulose biosynthetic process
OG0000268	catalytic activity:oxidoreductase activity
OG0000269	catalytic activity:UDP-glycosyltransferase activity; quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity
OG0000270	carbohydrate metabolism:phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process
OG0000271	binding:RNA binding; RNA splicing, via transesterification reactions; mRNA binding
OG0000272	catalytic activity:UDP-glycosyltransferase activity; UDP-glucosyltransferase activity
OG0000274	binding; immune/defense:protein binding; ADP binding; defense response; defense response to other organism
OG0000275	catalytic activity:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; putrescine biosynthetic process from arginine; N-carbamoylputrescine amidase activity; beta-ureidopropionase activity; beta-alanine biosynthetic process via 3-ureidopropionate; mitochondrion; oxaloacetate metabolic process; asparagine metabolic process; glutamine metabolic process; omega-amidase activity; nitrilase activity; catalytic activity; nitrile hydratase activity; detoxification of nitrogen compound
OG0000277	carbohydrate metabolism:xylan 1,4-beta-xylosidase activity; arabinan catabolic process; xylan catabolic process; alpha-L-arabinofuranosidase activity; apoplast; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process
OG0000279	transport:channel activity; membrane; transmembrane transport
OG0000280	binding:DNA binding; structural constituent of chromatin; protein heterodimerization activity
OG0000281	transport:plasma membrane; phospholipid translocation; ATPase-coupled intramembrane lipid transporter activity; nucleotide binding
OG0000282	binding:protein binding; structural constituent of ribosome; ribosome; translation
OG0000283	catalytic activity:raffinose alpha-galactosidase activity
OG0000284	transport:potassium ion transport; potassium ion transmembrane transporter activity; membrane; potassium ion transmembrane transport
OG0000285	catalytic activity:glycosyltransferase activity
OG0000286	catalytic activity:stearoyl-CoA 9-desaturase activity; fatty acid metabolic process; defense response; chloroplast stroma; acyl-[acyl-carrier-protein] desaturase activity
OG0000287	unknown; binding:carbohydrate metabolic process; alpha-amylase activity; calcium ion binding
OG0000288	unknown:membrane; transmembrane transporter activity
OG0000289	binding:protein binding
OG0000290	unknown:photosynthesis, light harvesting; membrane
OG0000291	catalytic activity:glycosyltransferase activity
OG0000292	catalytic activity; binding:helicase activity; protein binding; ATP binding
OG0000293	catalytic activity:UDP-glycosyltransferase activity; UDP-glucosyltransferase activity
OG0000294	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding
OG0000295	binding; catalytic activity:acid phosphatase activity; metal ion binding; hydrolase activity
OG0000296	binding; catalytic activity:acid phosphatase activity; metal ion binding; hydrolase activity
OG0000298	binding; unknown:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane; recognition of pollen; polysaccharide binding
OG0000299	binding:FAD binding; oxidoreductase activity; flavin adenine dinucleotide binding
OG0000301	catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation
OG0000302	transport:inorganic diphosphate phosphatase activity; diphosphate hydrolysis-driven proton transmembrane transporter activity; membrane; proton transmembrane transport
OG0000303	transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport
OG0000305	carbohydrate metabolism:plasma membrane; cellulose microfibril organization; membrane; plant-type cell wall cellulose biosynthetic process
OG0000306	binding:RNA binding; nucleic acid binding; mRNA splicing, via spliceosome; mRNA binding; U1 snRNP; snRNA binding; U1 snRNA binding; U2-type prespliceosome; precatalytic spliceosome; mitochondrion; mitochondrial mRNA modification; chloroplast; cytidine to uridine editing; chloroplast mRNA modification
OG0000307	carbohydrate metabolism:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; beta-glucosidase activity; glucan catabolic process
OG0000308	binding; unknown:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activator activity
OG0000311	catalytic activity; binding:oxidoreductase activity; plasma membrane; NAD(P)H oxidase H2O2-forming activity; peroxidase activity; oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor; calcium ion binding
OG0000312	binding; immune/defense:ADP binding; protein binding; defense response; defense response to other organism
OG0000313	catalytic activity:aldehyde dehydrogenase (NAD+) activity; cytoplasm; cellular aldehyde metabolic process; oxidoreductase activity
OG0000315	catalytic activity:plant-type vacuole; ubiquitin-dependent protein catabolic process; protein ubiquitination; ubiquitin protein ligase activity
OG0000316	carbohydrate metabolism:pectinesterase activity; cell wall modification; pectin catabolic process; carboxylic ester hydrolase activity
OG0000318	immune/defense; binding:defense response; defense response to other organism; ADP binding
OG0000319	binding:protein binding; regulation of DNA-templated transcription
OG0000320	catalytic activity:aspartic-type endopeptidase activity; proteolysis
OG0000321	binding; unknown:protein binding; structural constituent of ribosome; ribosome; translation; mitochondrial small ribosomal subunit; small ribosomal subunit
OG0000322	carbohydrate metabolism; catalytic activity:ribose-5-phosphate isomerase activity; pentose-phosphate shunt, non-oxidative branch; cytoplasm; D-ribose metabolic process
OG0000323	catalytic activity; binding:RNA-dependent RNA polymerase activity; siRNA processing; nuclear RNA-directed RNA polymerase complex; RNA binding; nucleic acid binding
OG0000324	catalytic activity:pectate lyase activity
OG0000325	unknown:protein phosphatase type 2A complex; signal transduction; protein phosphatase regulator activity
OG0000326	binding:RNA binding; RNA modification; protein binding
OG0000327	transport:transmembrane transporter activity; transmembrane transport; inorganic phosphate transmembrane transporter activity; plastid
OG0000328	transport:membrane; transmembrane transporter activity; transmembrane transport
OG0000329	catalytic activity:lipid metabolic process; phospholipase activity; acylglycerol lipase activity
OG0000331	binding:calcium ion binding
OG0000332	binding:protein kinase activity; ATP binding; protein phosphorylation; calcium ion binding
OG0000333	binding:ATP binding; ATP hydrolysis activity
OG0000334	catalytic activity:Golgi apparatus; O-acetyltransferase activity; transferase activity
OG0000336	unknown:monoatomic cation transmembrane transporter activity; membrane; manganese:proton antiporter activity
OG0000338	binding:RNA binding; nucleic acid binding
OG0000339	binding; unknown:zinc ion binding; regulation of DNA-templated transcription
