d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
unknown:DNA-binding transcription factor activity; regulation of DNA-templated transcription	OG0006167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:carbohydrate binding; protein kinase activity; ATP binding; protein phosphorylation	OG0006168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; transcription cis-regulatory region binding; nucleus; response to stress; positive regulation of DNA-templated transcription; DNA binding	OG0006170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:hydrotropism	OG0006171	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:metal ion binding	OG0006172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nucleus; cytoplasm	OG0006173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nucleus; cytoplasm; negative regulation of flower development; vegetative to reproductive phase transition of meristem	OG0006174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; protein kinase activity; ATP binding; protein phosphorylation	OG0006175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nucleus; regulation of nuclear division; negative regulation of ubiquitin protein ligase activity	OG0006177	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1
binding:cytoskeleton organization; microtubule binding	OG0006178	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:microtubule; microtubule binding	OG0006179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:suberin biosynthetic process; long-chain fatty-acyl-CoA metabolic process; intracellular membrane-bounded organelle; alcohol-forming very long-chain fatty acyl-CoA reductase activity	OG0006181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:serine-type endopeptidase activity; membrane; protein binding	OG0006186	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
binding:protein binding; protein ubiquitination	OG0006187	1	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	2
binding:FAD binding; catalytic activity; flavin adenine dinucleotide binding; D-lactate dehydrogenase (cytochrome) activity; mitochondrion; D-lactate dehydrogenase activity; lactate catabolic process	OG0006188	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
binding:spliceosomal complex assembly; protein serine/threonine kinase activity; peptidyl-serine phosphorylation; regulation of mRNA processing; protein kinase activity; ATP binding; protein phosphorylation	OG0006189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; iron-sulfur cluster assembly; CIA complex	OG0006190	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:ESCRT I complex; protein targeting to membrane; protein targeting to vacuole; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	OG0006191	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; protein kinase activity; ATP binding; protein phosphorylation	OG0006192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleotide binding; adenylosuccinate synthase activity; cytoplasm; purine nucleotide biosynthetic process; 'de novo' AMP biosynthetic process; IMP metabolic process	OG0006193	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:monoatomic cation transport; monoatomic cation transmembrane transporter activity; membrane; transmembrane transport	OG0006194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006195	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-templated transcription termination	OG0006196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:GTPase activity; GTP binding	OG0006197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:calcium ion binding; myosin II complex	OG0006198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0006199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:phosphorelay signal transduction system; cytokinin-activated signaling pathway	OG0006200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:pectate lyase activity	OG0006201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:carbonate dehydratase activity; one-carbon metabolic process; zinc ion binding; hydro-lyase activity	OG0006202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:structural constituent of ribosome; ribosome; translation	OG0006203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carbohydrate metabolism:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; cell wall; xyloglucan:xyloglucosyl transferase activity; glucan metabolic process; apoplast	OG0006204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:endoplasmic reticulum; ubiquitin-dependent protein catabolic process; ubiquitin protein ligase activity	OG0006205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein tyrosine kinase activity	OG0006207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0006208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:mRNA binding; metal ion binding; RNA binding; nucleic acid binding	OG0006209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:hydrolase activity, acting on ester bonds	OG0006210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-binding transcription factor activity; response to gibberellin; trichome differentiation; trichome morphogenesis	OG0006211	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006213	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding	OG0006214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:negative regulation of DNA-templated transcription	OG0006215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
immune/defense:protein binding; transcription cis-regulatory region binding; nucleus; regulation of DNA-templated transcription; induced systemic resistance, jasmonic acid mediated signaling pathway; plant organ development	OG0006216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA binding; nucleic acid binding	OG0006217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:tryptophan catabolic process to kynurenine; heme binding; metal ion binding; defense response	OG0006219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:proteolysis	OG0006220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:phosphorelay sensor kinase activity; signal transduction; protein binding; phosphorelay signal transduction system; endoplasmic reticulum; ethylene receptor activity; ethylene binding	OG0006221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; ATP binding; chromosome; chromosome organization	OG0006223	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
catalytic activity:arginyl-tRNA--protein transferase activity; protein arginylation; cytoplasm	OG0006224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; protein kinase activity; ATP binding; protein phosphorylation	OG0006225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:vesicle-mediated transport; TRAPP complex; endoplasmic reticulum to Golgi vesicle-mediated transport	OG0006226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription; ethylene-activated signaling pathway	OG0006227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:metal ion binding	OG0006228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-binding transcription factor activity; DNA-templated transcription initiation; regulation of DNA-templated transcription	OG0006229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:ubiquitin-protein transferase activity; nucleus; protein ubiquitination	OG0006230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:metal ion binding; mRNA binding	OG0006232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum; membrane; Golgi apparatus	OG0006234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA binding; nucleic acid binding	OG0006235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:transmembrane transporter activity; glucose transmembrane transporter activity; glucose transmembrane transport; membrane; transmembrane transport	OG0006238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-binding transcription factor activity; DNA-templated transcription initiation; regulation of DNA-templated transcription	OG0006240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; protein-folding chaperone binding	OG0006242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:protein dephosphorylation; dephosphorylation	OG0006244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:SNAP receptor activity; endoplasmic reticulum to Golgi vesicle-mediated transport; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	OG0006245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:spliceosomal snRNP assembly; spliceosomal complex; cytosol; pICln-Sm protein complex; mRNA cis splicing, via spliceosome	OG0006246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription	OG0006247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:endoplasmic reticulum membrane; protein N-linked glycosylation	OG0006249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity; binding:catalytic activity; 3'-5'-RNA exonuclease activity; calcium ion binding	OG0006250	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:membrane; aspartic endopeptidase activity, intramembrane cleaving; signal peptide processing; Golgi-associated vesicle membrane; membrane protein proteolysis; lumenal side of endoplasmic reticulum membrane; cytoplasmic side of endoplasmic reticulum membrane	OG0006251	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:membrane	OG0006252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription; response to hormone; nucleus	OG0006258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:flower development; vegetative to reproductive phase transition of meristem	OG0006260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:acyltransferase activity, transferring groups other than amino-acyl groups; Golgi membrane; histone acetyltransferase activity; peptide alpha-N-acetyltransferase activity; N-terminal peptidyl-methionine acetylation	OG0006261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:phosphatidylinositol binding; ubiquitin binding; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	OG0006262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; unknown:catalytic activity; iron-sulfur cluster binding; tRNA methylation; rRNA base methylation	OG0006263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006264	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:transmembrane transporter activity; transmembrane transport	OG0006265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:regulation of COPII vesicle coating; guanyl-nucleotide exchange factor activity; endoplasmic reticulum membrane; endoplasmic reticulum to Golgi vesicle-mediated transport; protein binding	OG0006266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:metallopeptidase activity; zinc ion binding; cytosol	OG0006268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006269	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:structural molecule activity; plasma membrane; intracellular protein transport; vesicle-mediated transport; clathrin vesicle coat; clathrin coat of trans-Golgi network vesicle; clathrin coat of coated pit; clathrin heavy chain binding; clathrin-dependent endocytosis	OG0006270	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:lipid binding; endoplasmic reticulum	OG0006271	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleic acid binding	OG0006272	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:transferase activity; Golgi apparatus; O-acetyltransferase activity	OG0006273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:SWI/SNF complex; positive regulation of DNA-templated transcription	OG0006274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA binding; SRP-dependent cotranslational protein targeting to membrane; post-translational protein targeting to endoplasmic reticulum membrane; protein transmembrane transporter activity; Sec62/Sec63 complex	OG0006276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:regulation of transcription by RNA polymerase II; NuA4 histone acetyltransferase complex	OG0006277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:protein phosphatase inhibitor activity; nucleus; cytoplasm; abscisic acid-activated signaling pathway; abscisic acid binding; signaling receptor activity	OG0006278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:GTPase activity; GTP binding; Golgi apparatus; intracellular protein transport; protein localization to Golgi apparatus; Golgi to plasma membrane protein transport	OG0006279	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006280	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006281	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:actin binding; vacuolar membrane	OG0006283	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:regulation of DNA-templated transcription; sequence-specific DNA binding; nucleus; cell differentiation	OG0006284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:chromatin; nucleus; chromatin remodeling; regulation of gene expression; histone demethylase activity; histone H3K4me/H3K4me2/H3K4me3 demethylase activity	OG0006285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:ubiquitin-protein transferase activity; protein ubiquitination	OG0006286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:double-stranded DNA binding; nucleus; nucleolus; chromosome condensation; nucleosomal DNA binding; negative regulation of DNA recombination; DNA binding; nucleosome; nucleosome assembly	OG0006287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006289	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:positive regulation of growth	OG0006290	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:Mo-molybdopterin cofactor biosynthetic process	OG0006292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:intracellular protein transport	OG0006293	1	2	0	2	0	1	1	1	1	1	1	1	1	2	0	2	0	1	2	0
binding:RNA polymerase II transcription regulatory region sequence-specific DNA binding; chromatin binding; nucleus; histone binding; positive regulation of transcription by RNA polymerase II	OG0006294	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein heterodimerization activity; core promoter sequence-specific DNA binding; nucleus; RNA polymerase II general transcription initiation factor activity	OG0006296	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006298	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:nucleotide transport; transmembrane transport	OG0006299	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1
binding:protein binding	OG0006300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:regulatory ncRNA-mediated gene silencing; gene silencing by RNA-directed DNA methylation	OG0006301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-templated transcription elongation; mRNA binding; regulation of transcription by RNA polymerase II; transcription elongation by RNA polymerase II; DSIF complex; regulation of DNA-templated transcription elongation	OG0006302	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:microtubule cytoskeleton organization; cytoplasm; spindle; microtubule binding	OG0006303	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; cell plate assembly; kinetochore microtubule; regulation of microtubule nucleation; positive regulation of cytokinesis; regulation of mitotic spindle organization; gamma-tubulin complex binding; regulation of phragmoplast microtubule organization	OG0006304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006305	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006306	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown; binding:SCF ubiquitin ligase complex; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; protein binding	OG0006307	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:cortical microtubule organization; cortical microtubule	OG0006308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:cytoplasm; mitochondrion; iron-sulfur cluster assembly; 2 iron, 2 sulfur cluster binding; protein maturation by iron-sulfur cluster transfer	OG0006309	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:photosynthesis, light harvesting; membrane	OG0006310	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; peptidase activity; metallopeptidase activity; translation initiation factor activity; translational initiation; translation initiation factor binding; eukaryotic translation initiation factor 3 complex, eIF3m	OG0006311	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription	OG0006312	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:nuclear envelope; poly(A)+ mRNA export from nucleus; nuclear membrane organization	OG0006314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:guanyl-nucleotide exchange factor activity	OG0006315	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity; membrane	OG0006316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:DNA-directed 5'-3' RNA polymerase activity; DNA-templated transcription; RNA polymerase I activity; RNA polymerase II activity; RNA polymerase III activity; RNA polymerase II, core complex; RNA polymerase III complex; RNA polymerase I complex	OG0006317	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription	OG0006318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0006319	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:embryo sac development; stomatal complex morphogenesis; receptor serine/threonine kinase binding; plant ovule development; protein binding; protein kinase activity; ATP binding; protein phosphorylation	OG0006320	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:cysteine-type deubiquitinase activity; protein deubiquitination	OG0006321	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0006322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; lipid binding	OG0006323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:chloroplast thylakoid membrane; chloroplast inner membrane	OG0006325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006326	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:intramolecular lyase activity	OG0006327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nucleus; multicellular organism development; polarity specification of adaxial/abaxial axis; fruit development; abaxial cell fate specification; cell fate commitment; regulation of shoot apical meristem development; regulation of leaf development	OG0006328	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:negative regulation of transcription elongation by RNA polymerase II; histone reader activity	OG0006329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006330	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006331	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006332	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:zinc ion binding	OG0006333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation	OG0006334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; brassinosteroid homeostasis; brassinosteroid metabolic process	OG0006335	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:enzyme inhibitor activity; negative regulation of catalytic activity	OG0006336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:enzyme inhibitor activity; negative regulation of catalytic activity	OG0006337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:regulation of DNA-templated transcription	OG0006338	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; unknown:nucleic acid binding; zinc ion binding; response to ethylene; response to gibberellin	OG0006339	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding	OG0006340	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
