d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
unknown:membrane; transmembrane transporter activity	OG0000126	9	5	6	4	6	5	6	5	5	5	6	5	6	5	6	3	7	3	4	6
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding	OG0000127	6	5	6	5	5	5	5	5	5	5	4	5	6	5	6	5	6	6	5	6
binding:nucleic acid binding; zinc ion binding	OG0000128	9	4	6	5	10	9	6	2	3	8	6	5	9	5	7	1	1	5	0	3
binding; unknown:protein serine/threonine kinase activity; recognition of pollen; protein kinase activity; ATP binding; protein phosphorylation; plasma membrane; protein tyrosine kinase activity	OG0000129	12	9	3	5	3	8	3	6	3	6	3	11	3	9	3	4	3	6	4	3
catalytic activity; binding:methyltransferase activity; O-methyltransferase activity; protein dimerization activity	OG0000130	10	3	10	3	9	2	7	2	6	2	7	3	11	3	10	2	6	3	2	6
NA	OG0000131	7	5	6	5	6	5	5	5	5	4	5	5	6	5	6	3	5	7	5	5
binding:protein kinase activity; ATP binding; protein phosphorylation; recognition of pollen; protein serine/threonine kinase activity; plasma membrane; protein tyrosine kinase activity	OG0000132	6	2	11	2	8	1	8	1	7	1	8	2	16	2	11	1	7	4	2	6
catalytic activity:glutathione transferase activity; cytoplasm; glutathione metabolic process	OG0000133	9	7	3	8	5	6	4	1	7	6	4	7	6	7	4	6	3	2	4	5
binding; catalytic activity:protein kinase activity; ATP binding; protein phosphorylation	OG0000134	5	3	8	3	7	5	7	3	7	4	7	4	8	3	8	2	5	4	4	7
carbohydrate metabolism:pectinesterase activity; pectin catabolic process; carboxylic ester hydrolase activity; cell wall modification	OG0000135	8	5	8	1	7	4	5	2	7	3	6	5	8	5	8	3	6	5	3	6
transport; binding:ATP binding; membrane; transmembrane transport; ABC-type transporter activity; ATP hydrolysis activity; plasma membrane; ATPase-coupled transmembrane transporter activity	OG0000136	6	7	5	5	4	7	4	6	3	5	5	7	5	6	5	4	4	5	6	4
binding:nucleosome; DNA binding; structural constituent of chromatin; protein heterodimerization activity	OG0000137	7	3	8	2	7	1	7	3	7	3	7	3	9	4	8	7	4	4	3	7
catalytic activity:UDP-glucosyltransferase activity; UDP-glycosyltransferase activity	OG0000138	12	5	5	5	4	5	6	5	3	5	6	5	6	5	5	5	2	6	5	2
binding; catalytic activity:carbohydrate binding; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process	OG0000139	8	7	4	6	3	7	2	5	4	6	3	7	6	7	5	4	5	7	6	2
catalytic activity:hydrolase activity, acting on ester bonds; lipase activity	OG0000140	11	6	4	7	4	6	4	6	3	5	4	6	4	6	4	6	3	6	6	3
binding; catalytic activity:protein serine/threonine kinase activity; protein phosphorylation; signal transduction; protein kinase activity; ATP binding	OG0000141	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5
binding; catalytic activity:copper ion binding; oxidoreductase activity	OG0000142	5	6	5	6	5	6	5	5	3	6	4	5	4	6	4	7	2	5	5	4
NA	OG0000143	8	7	3	7	1	7	4	6	2	8	2	7	4	8	3	7	0	8	8	2
NA	OG0000144	6	7	4	7	6	6	4	5	3	7	4	7	6	5	5	6	3	4	3	4
binding:nucleic acid binding; zinc ion binding	OG0000145	7	5	4	4	10	4	9	5	4	6	3	5	4	4	5	3	6	5	3	3
catalytic activity:oxidoreductase activity	OG0000146	7	4	5	5	5	5	5	4	7	5	5	7	5	6	6	4	5	1	5	3
binding:ATP binding; ATP hydrolysis activity	OG0000147	6	6	4	6	4	7	4	5	5	5	5	5	5	5	4	4	4	6	5	4
unknown:purine nucleoside transmembrane transporter activity; membrane	OG0000148	6	3	8	3	8	3	7	3	6	3	6	2	8	3	8	4	6	6	2	6
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; membrane; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	OG0000149	15	3	5	3	6	4	6	3	6	3	6	3	6	4	6	5	4	3	2	6
binding; catalytic activity:oxidoreductase activity; copper ion binding	OG0000150	8	6	4	6	4	5	4	5	4	6	4	6	4	6	4	7	2	6	5	4
transport:lipid transport; lipid binding	OG0000151	5	5	7	4	5	5	6	4	4	6	5	7	7	6	6	4	5	0	4	4
catalytic activity:cytoplasm; indole-3-acetic acid amido synthetase activity; acid-amino acid ligase activity	OG0000152	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	4	5	5	5
transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport	OG0000153	8	6	4	6	4	5	4	4	4	6	4	6	4	5	4	4	5	7	4	4
binding; unknown:signal transduction; defense response; ADP binding; protein binding; cytoplasm	OG0000154	12	8	2	8	1	8	2	6	2	9	1	8	2	8	2	6	2	1	8	2
unknown:DNA integration	OG0000155	5	7	6	3	10	10	4	0	1	6	8	8	7	4	10	0	1	1	2	0
binding; unknown:recognition of pollen; protein kinase activity; ATP binding; protein phosphorylation; protein tyrosine kinase activity	OG0000156	8	4	6	4	6	4	6	3	5	4	5	4	6	3	6	3	6	7	5	5
catalytic activity:glutathione transferase activity; cytoplasm; glutathione metabolic process	OG0000157	13	5	6	3	5	5	4	4	3	4	4	5	6	4	6	4	4	4	4	5
catalytic activity:endoplasmic reticulum; auxin metabolic process; IAA-Ala conjugate hydrolase activity; hydrolase activity	OG0000158	12	6	4	5	3	6	3	5	4	6	3	6	4	5	4	6	3	4	6	3
binding:protein binding; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; metal ion binding; lipid oxidation	OG0000159	7	3	5	4	6	4	6	3	5	4	6	4	6	4	5	4	5	6	4	5
signaling; binding:chloroplast; chloroplast-nucleus signaling pathway; mitochondria-nucleus signaling pathway; protein binding; mRNA binding; mitochondrion; RNA processing; mitochondrion organization	OG0000160	7	6	4	5	4	5	4	6	2	5	4	6	4	7	3	6	3	7	5	3
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding	OG0000161	7	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	7	2
NA	OG0000162	0	8	8	3	4	8	8	0	0	5	12	4	11	10	7	0	0	0	0	0
